synset_id,words,definition,has_ili
awn3-10672393-n,خَبِير إحْصَاء,من تكون مهنته جمع البيانات الإحصائية ودراستها، وبالأخص لحساب الأقساط التأمينية,True
awn3-10688105-n,"حَالَة, حقل التجارب",من يستخدم في تجربة علمية,True
awn3-10688796-n,غَوَّاص,أحد أعضاء طاقم الغواصة,True
awn3-11895569-n,جِنْس الكَرَنْب,فصيلة البراسيكا التي تضم الملفوف أو الكرنب أو اللفت أو القرنبيط,True
awn3-11920527-n,خَشْخاش,نبات عشبي من فصيلة الخشخاشيات ذو عصارة حليبية مخدرة أزهارها كبيرة يستخرج منها ال,True
awn3-11932060-n,فَصِيلَة نَجْمِيَّة,فصيلة تتبع رتبة النجميات من صف ثنائيات الفلقة يتألف رأسها من الزهيرات الصغيرة: ك,True
awn3-12190293-n,خُبَّازِيَّات,من عائلة النباتات المزهرة التي تحوي أعشاب وشجيرات وبعض الأشجار الخضراء كالملوخية,True
awn3-12215293-n,إِسْطَرْقُولِيَّة,عائلة كبيرة من رتبة الخبازيات وهي نوع من الأشجار الاستوائية والمدارية,True
awn3-12246839-n,خَلَنْج,رتبة نباتية كبيرة من طائفة ثنائيات الفلقة تضم أشجاراً ونباتات عشبية ذات أزهار صغ,True
awn3-12425714-n,"بوقيصاء, شَجَرَةُ البَقّ",نوع من عائلة الدردار المتساقطة الأوراق ذات الأوراق المسننة وتتوزع على نطاق واسع ,True
awn3-12444070-n,زَنْبَقِيَّات,رتبة نباتية تنتمي إلى طبقة الزنبقيات وتضم ثلاث رتب هي الزنبقيات والديوسكوريال وا,True
awn3-12559108-n,الجُلُبَّان,جنس من نباتات عشبية متسلقة من العالم القديم برية وزراعية من الفصيلة القرنية بعضه,True
awn3-12658490-n,جِنْس البَرْقوق,شجرة ذات نواة من جنس البرقوق من الفصيلة الوردية ينمو في المناطق المعتدلة أزهاره ,True
awn3-12680770-n,فَصِيلَة الفُوَّة,من عائلة النباتات الاستوائية الصبغية ثنائية الفلقة التي تضم البن والغاردينيا,True
awn3-12728192-n,فَصِيلَة الحِمْضِيَّات,فاكهة تحمل طعماً لذيذاً لاذعاً وتنمو على الأشجار المزهرة ذات الرائحة العطرة وتنت,True
awn3-12744961-n,صَفْصاف,جنس من الأشجار يتبع الفصيلة الصفصافية تتفاوت في الطول ذات استخدامات طبية وتزييني,True
awn3-12772965-n,نَباتُ القَيْقَب,أي من جنس الأشجار أو الشجيرات الذي يستخرج منه شراب سكري للتحلية,True
awn3-12777217-n,"البَهْشِيّة, نبات الإيلَكْس",أي من أشجار أو شجيرات الفصيلة البهشية يتميز بأوراقه المصقولة شائكة الأطراف وزهره,True
awn3-12812801-n,فَصِيلَةٌ كاسِرُ الحَجَر,نوع من النبات الزهري يتبع فصيلة كاسرات الحجر دائمة الخضرة تنتشر في المناطق المعت,True
awn3-12858787-n,"نَعْناع, الفصيلة الشفوية",فصيلة من طائفة ثنائيات الفلقة لها أزهار تشبه الشفاه تضم أجناساً كثيرة أشهرها الن,True
awn3-12912986-n,الباذِنْجانِيَّات,عائلة نباتات واسعة ثنائية الفلقة ملتحمة البتلات تضم نباتات زراعية وبرية بعضها يؤ,True
awn3-12938098-n,الفَرْبيُون,جنس نباتي ينتمي إلى الفصيلة اللبنية ويضم أنوعاً كثيرة من النباتات الحولية والمعم,True
awn3-12950804-n,فَصِيلَة خَيْمِيَّة,فصيلة نباتية من أشهر نباتاتها البقدونس والكزبرة والشبت والكرفس الخ,True
awn3-13019575-n,غارِيقون,من جنس الفطريات ثنائي البوغ من فصيلة الغاريقونيات يشبه المظلة منه ما هو سام ومنه,True
awn3-13265650-n,مِلْكِيَّة,الأصول التي يملكها الشخص ويملك كامل الحق والحرية في التصرف بها سواء كانت ملموسة ,True
awn3-13265778-n,أَمْلاك,الأشياء الملموسة التي يملكها الشخص ، بخلاف الأملاك غير الملموسة,True
awn3-13267231-n,حَوَائِج,الممتلكات التي يمكن نقلها ( وخصوصاً ما يتعلق بالثياب ),True
awn3-13269292-n,إِيجَار,ملكية يتم تأجيرها مقابل مبلغ مالي,True
awn3-13381671-n,وَدِيعَة,مال أو ملك يوضع في عهدة شخص آخر لحفظه أو استثماره لمصلحة شخص آخر,True
awn3-13693918-n,درهم,العملة الرئيسية المتداولة في الإمارات العربية المتحدة، وتساوي 100 فلس,True
awn3-13717525-n,جنيه,العملة المتداولة في السودان، تساوي 100 قرش,True
awn3-13776148-n,بي,رمز يعبر عن نسبة محيط الدائرة إلى قطرها ويعادل تقريباً 3.14,True
