Category,Arabic_Words,Arabic_Senses,Arabic_Synsets,English_Words,English_Senses,English_Synsets,Coverage_Pct
All,18003,37342,9916,156584,206978,117659,8.427744583924731
Nouns,10344,14239,6884,119034,146347,82115,8.38336479327772
Verbs,6728,22094,2484,11531,25047,13767,18.043146655044673
Adjectives,693,757,443,21538,30004,7463,5.935950690071017
Adverbs,238,252,105,4481,5580,3621,2.899751449875725
Adj. Satellites,0,0,0,0,0,10693,0.0
