Domain,Count
عسْكر,113
قانُون,51
عِلْم الكِيمياء,48
الفَلْسَفَة  الطَبِيعِيَّة,27
تِجارة,24
عِلْم الأحْياء,21
رِياضِيّات,19
إِنْتاج فنِّي,13
إِعْداد,12
[medicine],12
أعْمال,11
مُوسِيق?ى,11
[computer science],11
العَهْد القَدِيم,9
دِيانة,8
[zoology],8
[Greek mythology],7
فُنُون التَّمْثِيل,7
[baseball],7
ألْعاب رِياضِيّة,7
عِلْم النفْس,6
حُكْم,6
عِلْم السِّياسة,6
إِحْصاء,6
[astronomy],5
فِلاْحة,5
[photography],5
جرِيمة,5
حياة نباتِيّة,5
[Roman mythology],5
