Relation_Type,Count
hyponym,51839
hypernym,8649
instance_hyponym,5513
has_domain_topic,3959
mero_part,3476
similar,2204
mero_member,1805
holo_part,1184
has_domain_region,1047
domain_topic,668
instance_hypernym,623
holo_member,517
attribute,399
also,304
holo_substance,200
entails,147
mero_substance,125
causes,93
is_exemplified_by,54
domain_region,39
exemplifies,9
