qabas_lemma_id,qabas_lemma,sama_lemma_id,sama_lemma
2023254210,كُرُومُ,390013444,"كُرُوم 1"
2023254209,مَعْقُولِيَّةٌ,390012720,"مَعْقُولِيَّة 1"
2023254271,رَيِّحٌ,390014507,"رَيِّح 1"
2023254206,"سُورِيا ",390010526,"سُورِيا 1"
2023254207,مُرْتَزَقٌ,390010637,"مُرْتَزَق 1"
2023254236,"مَسْكَنٌ | مَسْكِنٌ ",390011190,"مَسْكَن 1"
2023254201,تَعَاصَى,390008755,"تَعاصَى 1"
2023254189,مُرَاسَلَةٌ,390009991,"مُراسَلَة 1"
2023254188,"بَدَنَ ",390000899,"بَدَنُ۪ 1"
2023254198,قَطَلَ,390002635,"قَطَلُِ۪ 1"
2023254160,زَأَطَ,390006636,"زَأَط 1"
2023254200,تَسَرَّرَ,390007799,"تَسَرَّر 1"
2023253812,مُظَهِّرٌ,390024472,"مُظَهِّر 1"
2023253773,بَهْلُول,390009275,"بَهْلُول 1"
2023254301,زَلْزَلِيٌّ,390027668,"زَلْزَلِيّ 1"
2023253762,مُعَزٍّ,390025137,"مُعَزِّي 1"
2023254285,نَزِهٌ,390023884,"نَزِه 1"
2023254277,مِفْضَلٌ,390020177,"مِفْضَل 1"
2023254337,طالَبانِيٌّ,390038771,"طالَبانِيّ 1"
2023254351,حَنانَي,390050131,"حَنانَي۪ 1"
2023254186,"نَغِمَ ",390000529,"نَغِمَ۪ 1"
2023254304,مَتْكٌ,390029593,"مَتْك 1"
2023253702,شَجَبٌ,390023573,"شَجَب 1"
2023254273,مَنَى1,390014839,"مَنَى 1"
2023254319,فَيْلُولَةٌ,390020681,"فَيْلُولَة 1"
2023253625,كُرْكٌ,390013373,"كُرْك 1"
2023253599,كَسَمَ,390003927,"كَسَمِ۪ 1"
2023253835,مَقْعٌ,3900377297,NULL
2023253802,بَغْشٌ,3900376160,NULL
2023253524,تَهَاجُسٌ,3900376228,NULL
2023253724,"نَاشِفٌ  ",390022313,"ناشِف 1"
2023253795,أَنَسِيٌّ,390009857,"أَنَسِيّ 1"
2023253723,"سَابِحٌ  ",390028359,"سابِح 1"
2023253834,"بَدَائِيَّةٌ ",390037720,"بَدائِيَّة 1"
2023253500,شَبَهٌ,390023337,"شَبَه 1"
2023256443,مِضْغاطٌ,390019295,"مِضْغاط 1"
2022617300,مَانِيكَان,390029479,"مانِيكان 1"
2022617500,مَايْسترُو,390029224,"مايِسْترو 1"
2022618100,مَايُونِيز,390029197,"مايُونِيز 1"
2022617700,"مَايْكْرُوسْكُوبْ ",390021888,"مِيكْرُوسكُوب 1"
2022618200,مَايُوهٌ,390029223,"مايُّوه 1"
2022618400,مَتْحٌ,390029587,"مَتْح 1"
2022618800,مِتْرَالِيُوز,390039501,"مِتْرالْيُوز 1"
2022618900,مِتْرُو,390039403,"مِتْرُو 1"
2022618600,مِتْرٌ,390039498,"مِتْر 1"
2022619200,مُتْعَةٌ,390038859,"مُتْعَة 1"
2022619400,مُتْكٌ,390038767,"مُتْك 1"
2022620100,تَمَاثُلٌ,390038567,"تَماثُل 1"
2022620000,أُمْثُولَةٌ,390011991,"أُمْثُولَة 1"
2023254243,هُوشِيار,390016565,"هُوشِيار 1"
2023254288,"إِسْبَانَاخٌ ",390024379,"إِسْفانَخ 1"
2023254242,كَدَرَةٌ,390016188,"كَدَرَة 1"
2023253908,تَقَلْقُلٌ,3900376611,NULL
2023254076,لَافِتٌ,390015170,"لافِت 1"
2023253345,صَاغٌ,390026462,"صاغ 1"
2022182400,نُبُوٌّ,390033765,"نُبُوّ 1"
2023252372,مَاجِدَةٌ,390028742,"ماجِدَة 1"
2023252074,"تَعَاقَدَ على ",390008741,"تَعاقَد 1"
2023252018,كَمِّيٌّ,390017338,"كَمِّيّ 1"
2023253011,مُسْتَعْمَرٌ,390011678,"مُسْتَعْمَر 1"
2023252403,"مُطْلَقِيٌّ ",390024585,"مُطْلَقِيّ 1"
2023251962,مِقْرَأٌ,390020146,"مِقْرَأ 1"
2023251927,"مُزْعِجٌ ",390011307,"مُزْعِج 1"
202002839,"هَمَّ | هَمَّ ب | هَمَّ على | هَمَّ ل",390002661,"هَمُّ۪ 1"
