ili_id,oewn_pos,matched_english,oewn_words,ao_words,ao_gloss,oewn_definition
i93627,n,therapist,therapist|healer,مُعالِجٌ|مُدَاوٍ|آسٍ|طَبْيبٌ,الشخص الذي يساعد الأفراد على التخلص من المرض أو العجزالجسدي أو النفسي,a person skilled in a particular type of therapy
i5206,s,satellite,satellite,قَمَرٌ|تَابِعٌ1,جرم سماوي يدور حول كوكب آخر، لا يشمل ذلك الكواكب التي تدور حول شُمُوس,surrounding and dominated by a central authority or power
i24605,v,drift,drift,سَفِينٌ|سَانِدَةٌ|خَابُورٌ|إِزْمِيلٌ|إِسْفِينٌ|دِسَارٌ|وَتَدٌ|وَتِدٌ,قطعة مسطّحة مستدقة أو شبه مخروطية مسلوبة من الصلب تستخدم لنزع جذع المثقب أو عدد القطع المستدقة من مو,be piled up in banks or heaps by the force of wind or a current
i53679,n,fighter aircraft,fighter|fighter aircraft|attack aircraft,طائرة مقاتلة,طائرة حربية مصممة أساساً لتحطيم طائرات أخرى في الجو وتتميز بسرعة المنأورة وهي صغيرة نسبياً,a high-speed military or naval airplane designed to destroy enemy aircraft in the air
i57214,n,photographic paper,photographic paper|photographic material,ورق فوتغرافي,ورق مغطى بمادة حساسة للضوء كأملاح الفضة أو أملاح الحديد وسيانيد، ويعرف أيضا باسم الورق الحساس.,light-sensitive paper on which photograph can be printed
i99677,n,mustard oil,mustard oil,زيت الخردل,سائل دهني يستخلص من بذور الخردل، يحتوى على أليل ثيوسيانات وأليل ثيوكارباميد يتميز برائحته النفاذة وط,oil obtained from mustard seeds and used in making soap
i115665,n,magnetite,magnetite|magnetic iron-ore,مَغْنِيتِيت|مَغْنِتَيْت,مادة حديدية صلبة ذات شكل معين لها قطبان وتجذب نوع خاص من المواد وتولد مجالاً في محيطها,an oxide of iron that is strongly attracted by magnets
i98753,n,haustorium,haustorium,مَثْعَبٌ|مِمَصٌّ|سَحَّارَةٌ,فرع متخصص من الخيط الفُطْرى المتطفل، يتغلغل داخل الخلايا الحية للعائل ويمتص منها الغذاء، وهناك مَمَص,a root-like attachment in parasitic plants that penetrates and obtains food from the host
i116610,n,zirconium oxide,zirconium oxide|zirconia|zirconium dioxide,زركونيا|أكسيد الزركونيوم,مسحوق أبيض متبلور له صفة قابضة ولم يعد يستعمل في الطب,a white crystalline oxide; used in refractories and in insulation and abrasives and enamels and glaz
i63104,n,aquamarine,greenish blue|aqua|aquamarine|turquoise|cobalt blue,أكوامارين|الزمرد الأزرق,ضرب من مجموعة معادن الزمرد،  لونه مائل إلى الزرقة وتركيبه الكيميائي سليكات الألومنيوم والبريليوم،  و,a shade of blue tinged with green
i113896,n,astatine,astatine|At|atomic number 85,استاسين|ألابامين,عنصر كيمأوي نادر رمزه (ستا)،,a highly unstable radioactive element (the heaviest of the halogen series); a decay product of urani
i29936,v,mint,mint|coin|strike,نَعْنَاعٌ,نبات بري عطري من الفصيلة الشفوية له رائحة نفاذة يستخدم طازجاً أو جافاً ويحضر به الشاي,"form by stamping, punching, or printing"
i111247,n,whooping cough,whooping cough|pertussis,شَهْقَةٌ|شُهَاقٌ,مرض معد ينتشر بين الأطفال يبدأ بصعوبة في التنفس وينتقل بعد ذلك إلى مرحلة التنفس السريع والحاجة إلى ا,a disease of the respiratory mucous membrane
i56303,n,mixer,mixer,خَلَّاطٌ,جهاز يستعمل في مزج المواد بعضها ببعض بطريقة جيدة .,electronic equipment that mixes two or more input signals to give a single output signal
i62913,n,viscosity,viscosity|viscousness,لُزُوجَةٌ,تماسك أجزاء المادة لسائلة بعضها ببعض بشكل يمنع من سلاستها بحيث تصبح بطيئة وصعبة الانزلاق على الأسطح,resistance of a liquid to shear forces (and hence to flow)
i115754,n,natural gas,natural gas|gas,غاز طبيعي,خليط قابل للاشتعال من المركبات الهيدروكربونيَّة أكثره من الميثان يوجد في الطبيعة في فجوات الصُّخور ا,a fossil fuel in the gaseous state; used for cooking and heating homes
i13554,s,cartilaginous,cartilaginous|gristly|rubbery,غُضْرُوفِيٌّ,صفة لن,difficult to chew
i109366,n,secant,secant|sec,قَاطِعٌ|فَاصِلٌ|باتِرٌ|حادٌّ|عَائِقٌ|حَاجِزٌ|حَدٌّ1|حَاسِمٌ|مَاضٍ|الْمَاضِي|نَافِذٌ1,مَعكُوس جَيب التَمام,ratio of the hypotenuse to the adjacent side of a right-angled triangle
i18159,r,ce,CE|C.E.|Common Era,سر,الرمز الكيمأوي للسيريوم,of the period coinciding with the Christian era; preferred by some writers who are not Christians
i112690,n,dysphonia,dysphonia,بحة الصوت,اضطراب وخشونة في الصوت يتميز بإخراج الأصوات من الحنجرة بشكل غير واضح بسبب مرض أو تهتك في الأوتار الص,speech disorder attributable to a disorder of phonation
i56722,n,oil tanker,oil tanker|oiler|tanker|tank ship,ناقلة زيت|ناقلة نفط|ناقِلةُ زيت,سفينة كبيرة بها خزانات ضخمة تنقل خام النفط من حقوله إلى حيث يكرر ويصنع.,a cargo ship designed to carry crude oil in bulk
i68770,n,climatology,climatology,علم المناخ,العلم الذي يبحث في دراسة المناخ فوق منطقة معلومة خلال مدّة معينة، كما يبحث في العناصر الجوية لهذا ال,meteorology of climates and their phenomena
i57555,n,porcelain,porcelain,بُورْسُلِينٌ,خزف صلد أبيض نصف شفاف يصنع بتسخين خليط من الكأولين والرمل وبعض الإضافات الأخرى إلى درجة الانصهار.,ceramic ware made of a more or less translucent ceramic
i38683,n,fifo,first in first out|FIFO,الوارد أولا يخرج أولا|الوارد أولاً يخرج أولاً|اختبار الانعكاس في الُمُعامِل,أسلوب محاسبي لتسجيل المخزونات في الأعمال التجارية. وتعرف هذه الطريقة بطريقة الوارد أولا يخرج أولا. و,inventory accounting in which the oldest items (those first acquired) are assumed to be the first so
i68546,n,oncology,oncology,علم الأورام|مبحث الأورام,علم يبحث في انقسام وتزايد الخلايا بشكل مرضي وكيفية التعامل معها وعلاجها,the branch of medicine concerned with the study and treatment of tumors
i52236,n,compressor,compressor,ضَاغِطٌ,جهاز يُنقص ميكانيكيا حجم غاز أو بخاره بزيادة القوة المبذولة عمودياً على وحدة المساحة,a mechanical device that compresses gasses
i36019,n,projection,expulsion|projection|ejection|forcing out,عَرْضٌ1|إِسْقَاطٌ,وصف في التحليل النفسي ،  أسلوب من أساليب الدفاع عن النفس وتبرير تصرفاتها ،  ويتلخص في ميل الشخص إلى ,the act of expelling or projecting or ejecting
i27508,v,scavenge,scavenge,كَسَحَ|كَسَحَ من,أزالَ الغازاتِ المحترقةَ من أُسطوانة المُحرْك,feed on carrion or refuse
i61779,n,faintness,dimness|faintness,غَثَيَانٌ|إِغْمَاءٌ,حالة عضوية تتميز بالدوار أو الضعف العضلي، و فقدان جزئي للوعي.,the quality of being dim or lacking contrast
i15362,a,fossil,fossil,حَفْرِيَّةٌ|أَحَافِيرُ,أثر و بقايا النبات أو الحيوان منذ آلاف السنين بعضها أوراق أو حجارة وغيرها، وغالبا ما تأخذ الاحفورة ش,characteristic of a fossil
i115932,n,plaster of paris,plaster of Paris|plaster,جِبْسٌ|جَصٌّ|جِصٌّ|مِلَاطٌ,كبريتات الكالسيوم التي تحتوي جزيئاتها على نصف جزيء من الماء، وتحضر بتسخين الجبس، وهي مادة سريعة الشك,any of several gypsum cements; a white powder (a form of calcium sulphate) that forms a paste when m
i27839,v,rocket,rocket,صَارُوخٌ|قَذِيفَةٌ|مَقْذُوفٌ,مقذوف يدفع بقوة بالنفث نتيجة لاحتراق دوافع جامدة أو سائلة ويحمل داخله الوقود والمؤكسد ويصل الى مسافا,propel with a rocket
i23507,v,axe,ax|axe,فَأْسٌ|مِعْوَلٌ|مِنْكَاشٌ|بَلْطَةٌ|مِخَدَّةٌ|مَخَدَّةٌ,أداة من الصلب حدها إسفيني ذات يد خشبية طويلة نسبيا،  تستخدم لقطع الأشجار والأخشاب.,terminate
i116468,n,pitchblende,uraninite|pitchblende,يُورُانِينَيْتٌ|بِتْشْبْلِنْدٌ,معدن يتكون في أساسه من ثاني أكسيد اليورانيوم (,a mineral consisting of uranium oxide and trace amounts of radium and thorium and polonium and lead 
i98138,n,torsion,torsion|torque,لَيٌّ|تَوَتُّرٌ,حالة تصيب الصخر عند تعرضه لازدواجين حول محور التفاف واحد ولكن في اتجاهين متعاكسين,a twisting force
i59676,n,reinforcement,strengthener|reinforcement,مُعَزِّزٌ|تَعْزِيزٌ,صفة الحدث أو المكافئة التي تزيد من احتمال حدوث السلوك وتكراره في المستقبل.,a device designed to provide additional strength
i2439,s,liquid,liquid|limpid,سَائِلٌ 2|رَخْوٌ|رُخْوٌ|رِخْوٌ|مَائِعٌ,حالة المادة بين الصلابة والغازية يتغير شكلها تبعا للوعاء الحأوي لها، ولكن لا يتغير حجمها.,clear and bright
i41007,n,retardation,slowdown|lag|retardation,تَباطَأَ|تَباطَأَ في|تَقاصَرَ|تَقاصَرَ عن|تَقَاصُرٌ,عملية نَقص السرعة في وحدة الزمن,the act of slowing down or falling behind
i114021,n,wolfram,tungsten|wolfram|W|atomic number 74,وُلْفْرَامْيُومٌ|وُلَفْرامٌ,عنصر فلزي فضي اللون عدده الذري 74 ووزنه الذري 183، 85 ينصهر عند 3370م يوجد في خامات الولفراميت وخامة,a heavy grey-white metallic element; the pure form is used mainly in electrical applications; it is 
i9817,s,floral,floral|flowered,زَهْرِيٌّ,صفة لما يتعلق بالزهرة أو بالفلورة.,resembling or made of or suggestive of flowers
i4151,s,elementary,elementary|simple|uncomplicated|unproblematic,سُلَالِيٌّ|عُنصُريٌّ|عِرْقيٌّ,خاص بعنصرٍ أو بعَناصر كيمأوية,easy and not involved or complicated
i25373,v,plant,plant|implant,مَعْمَلٌ,موقع عمل مخصّص لصناعة أو صيانة السّلع والبضائع ونحوهما من منتجات ماديّة,put firmly in the mind
i35834,n,straddle,straddle,اِنْفَرَجَ,شقّ ما بين الشيئين,the option to buy or sell a given stock (or stock index or commodity future) at a given price before
i27991,v,asphalt,asphalt,قِيرٌ|قَارٌ|زِفْتٌ|قَطْرَانٌ|قَطِرَانٌ|قِطْرَانٌ|أَسْفَلْتٌ,مادة مكوّنة من البتيومين وبعض المواد المعدنية. لونها أسود أو بني،  طرية غالباَ وتجف عند تعرضها للهوا,cover with tar or asphalt
i85127,n,brook,brook|creek,نُهَيْرٌ|نَهْرٌ|جَدْوَلٌ,رافد صغير من الماء الجاري.,a natural stream of water smaller than a river (and often a tributary of a river)
i85538,n,hot spring,hot spring|thermal spring,حَمَّةٌ,مسطح مائي ذو مياه دافئة عذبة ومتدفقة,a natural spring of water at a temperature of 70 F or above
i67661,n,parameter,parameter|parametric quantity,بَارَامِتِرْ|مِقْيَاسٌ|مِعْيَارٌ,مِقدارٌ مُتغيِّر القيمة تتعين قيمته بالرجوع لنقطة أو دالة محددة,a constant in the equation of a curve that can be varied to yield a family of similar curves
i51477,n,housing,caparison|trapping|housing,مَنْزِلٌ,مأوى الإنسان، ينزل ويحل فيه لفترة طويلة كانت أم قصيرة,"stable gear consisting of a decorated covering for a horse, especially (formerly) for a warhorse"
i36646,n,regression,regression|regress|reversion|retrogression|retroversion,اِنْحِسَارٌ|جَزْرٌ|تَرَاجُعٌ,ارتداد البحر عن ا اليابسة التي كان قد غطاها,returning to a former state
i114791,n,graphite,graphite|black lead|plumbago,بْلَمْبَاجُو|جِرَافِيتٌ,شكل من أشكال عنصر الكربون، وهو أسود ناعم الملمس، قشري، يستعمل في صناعة جفنات مقأومة للحرارة وأقلام ا,used as a lubricant and as a moderator in nuclear reactors
i50333,n,backhoe,backhoe,جرافة عكسية|حفارة خلفية,حفارة ميكانيكية مزودة بذراع مفصلية مثبت بها قادوس يسحب باتجاه المكنة أثناء التشغيل.,an excavator whose shovel bucket is attached to a hinged boom and is drawn backward to move earth
i107297,n,acidification,acidification,تَحَمُّضٌ|تَحْمِيضٌ,عملية إضافة لأحد الأحماض إلى المحلول لرفع درجة تركيز أيون الهيدروجين لهذا المحلول.,the process of becoming acid or being converted into an acid
i39761,n,toilet,toilet|toilette,مِرْحَاضٌ,منشط مخصص لقضاء الحاجة,the act of dressing and preparing yourself
i36723,n,abreaction,catharsis|katharsis|abreaction,تَنْفِيسٌ|تَصْرِيفٌ,إيجاد مخرج للتخفيف من ضغط شيء ما,(psychoanalysis) purging of emotional tensions
i1662,s,hoarse,gruff|hoarse|husky,بحة في الصوت|صوت أحبش,اضطراب صوتي مثير للإزعاج يتميز بالخشونة والغلاظة نتيجة مسبب عارض كمرض أو داء مزمن وغيره. ويتميز بإطل,deep and harsh sounding as if from shouting or illness or emotion
i85028,n,atoll,atoll,أَتُول,جزر,an island consisting of a circular coral reef surrounding a lagoon
i113910,n,cadmium,cadmium|Cd|atomic number 48,كد,الرمز الكيمأوي للكادميوم,a soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zi
i12008,s,3,three|3|iii,ثَلاثَةٌ,عَدَد طَبيعي أَوّلِي يَدُلُّ عَلى قيمَة مَجْموع اثْنَيْن وَواحِد، وَهُوَ أَصْغَر مِن العَدَد أَربَعَ,being one more than two
i659,a,terrestrial,terrestrial,تُرَابِيٌّ|بَرِّيٌّ|أَرْضيٌّ,وصف لكل ما ينسب إلى اليابسة أو ما يخرج منها,operating or living or growing on land
i66702,n,mores,mores,عادات المجتمع|اعراف المجتمع,الممارسات والطقوس والقواعد الخاصة التي تتميز بها الشعوب عن بعضها البعض في جميع مناحي الحياة,(sociology) the conventions that embody the fundamental values of a group
i108993,n,calorie,Calorie|kilogram calorie|kilocalorie|large calorie|nutritionist's calorie,كَالُورِي|سُعْرٌ1,وحدة قياس الطاقة الحرارية في النظام المتري – وتسأوي كمية الحرارة اللازمة لرفع درجة حرارة جرام واحد م,a unit of heat equal to the amount of heat required to raise the temperature of one kilogram of wate
i3245,a,constant,constant,ثَابِتٌ,المحافظ على شكله تحت أي ظرف ولا يتفكك تركيبه,steadfast in purpose or devotion or affection
i55461,n,lab,lab|laboratory|research lab|research laboratory|science lab,مَخْبَرٌ|مُخْتَبَرٌ|مَعْمَلٌ,معمل تُجرَى فيه التحليلات الكيماوية أو الاختبارات العلمية وغيرها ويكون مُجَهَّزَاً بِآلاَتٍ دَقِيقَة,a workplace for the conduct of scientific research
i49938,n,alligator wrench,alligator wrench,مفتاح ربط تمساحي|غراب,مفتاح ربط ذو فكين يشكلان حرف,a wrench with a v-shaped jaw and serrations on one side (resembles the open jaws of an alligator)
i55013,n,hygrometer,hygrometer,هَيجْرُومِتِرٌ|مِرْطابٌ,جهاز يقيس مدى تشبع الهواء ببخار الماء,measuring instrument for measuring the relative humidity of the atmosphere
i61105,n,whetstone,whetstone,حَجَر التّجلِيخ|حَجَر الشَّحذ|حَجَر الصَّقِل|حجر الشحذ,قطعة خاصة صلبة تستخدم لحك الأسطح لتنعيمها وتلميعها أو جعلها حادة,a flat stone for sharpening edged tools or knives
i111524,n,pellagra,pellagra|Alpine scurvy|mal de la rosa|mal rosso|maidism,بلاغرا|حصاب|الجرب اليابس,مرض ناتج عن سوء التغذية نتيجة فقدان مادة النياسين ومن أعراضه التهاب الجلد والاغشية المخاطية واضطرابا,a disease caused by deficiency of niacin or tryptophan (or by a defect in the metabolic conversion o
i116359,n,tannin,tannin|tannic acid,تَنِّينٌ,,any of various complex phenolic substances of plant origin; used in tanning and in medicine
i59290,n,spectrophotometer,spectrophotometer,فوتومتر طيفي|اسبكتروفوتومتر|مقياس الضوء الطيفي,جهاز بصري لدراسة كثافات الألوان المتناظرة للأطياف ومقارنتها بعضها ببعض .,a photometer for comparing two light radiations wavelength by wavelength
i64517,n,macula,macule|macula,لَطْخَةٌ|بُقْعَةٌ2,مساحة صغيرة من سطح يخالف لونها لون بقية أجزائه.,a patch of skin that is discolored but not usually elevated; caused by various diseases
i92328,n,psychopath,sociopath|psychopath,مضطرب عقليا|اضطراب عقلي|سيكو باتي,حالة من عدم الاتزان واضطراب الشخصية بالإضافة لخلل في السلوك والمشاعر الظاهرة تجعل الشخص صعب الفهم وم,someone with a sociopathic personality; a person with an antisocial personality disorder (‘psychopat
i115868,n,petroleum,petroleum|crude oil|crude|rock oil|fossil oil,نَفْتَا|زَيْتٌ|نَفْطٌ2|نِفْطٌ|بَتْرُولٌ|بِتْرُولٌ,مادة هيدروكربونية معقدة تنتج من المواد العضوية والكائنات الحية الميتة التي دفنت تحت الأرض وتحولت إلى,a dark oil consisting mainly of hydrocarbons
i22061,v,twin,twin,تَوْأَمٌ,بلورة تبدو كأنها تكونت من بلورتين أو عدة بلورات كلها من طائفة واحدة ومماثلة وتتوازى توازيا غير تام، ,give birth to twins
i115620,n,limonite,limonite,لَيْمُونِيْتٌ,,a widely occurring iron oxide ore; a mixture of goethite and hematite and lepidocrocite
i50299,n,awl,awl,سُنْبُكٌ|مِثْقَابٌ|مِثْقَبٌ|مِخْرَمَةٌ|خَرَّامَةٌ|مِخْرَازٌ,أداة تستخدم لصنع فتحات نافذة في الورق أو غيره من المواد,a pointed tool for marking surfaces or for punching small holes
i64860,n,soft palate,soft palate|velum,الشق الحلقي|سقف الحلق الرخو|شق الحلق,تجويف أو فتحة في سقف الفم، بحيث قد توجد في سقف الحلق الصلب (الحنك) أو في سقف الحلق الرخو أو كليهما ك,a muscular flap that closes off the nasopharynx during swallowing or speaking
i63629,n,inclination,tilt|list|inclination|lean|leaning,مَيْلٌ,الزأوية الواقعة بين اتجاه شدة المجال المغنطيسي للأرض في مكان مّا وبين مستوى الأفق في ذلك المكان.,the property possessed by a line or surface that departs from the vertical
i105845,n,branchlet,branchlet|twig|sprig,فُرَيْعٌ|عُسْلُوجٌ|غُصَيْنٌ,الفرع الصغير من ساق النبات.,a small branch or division of a branch (especially a terminal division); usually applied to branches
i7254,s,conglomerate,conglomerate,رَصيصٌ,صخر رسوبي يتكون من حطام صخور قديمة في هيئة حصى مستدير مدملق متراص رصا محكما في محيط من مادة رسوبية ل,composed of heterogeneous elements gathered into a mass
i68781,n,mineralogy,mineralogy,عِدَانَةٌ,العلم الذي يدرس خصائص وصفات المعادن حيث يهتم بتركيبها الكيميائي والبلوري,the branch of geology that studies minerals: their structure and properties and the ways of distingu
i116546,n,white lead,white lead|ceruse|lead carbonate,اِسْفِيدَاجٌ|إسبيداجٌ,كربونات الرصاص القاعدية وهو مادة بيضاء تستخدم في عملية الطلاء,a poisonous white pigment that contains lead
i51226,n,bulb,bulb,بَصَلَةٌ,جزء أرضي من النبات يتكون من ساق قرصية تحمل حراشيف لحمية بها مواد غذائية مختزنة وتخرج من تلك الساق جذ,a rounded part of a cylindrical instrument (usually at one end)
i39073,n,sterilisation,sterilization|sterilisation,تَعْقيمٌ,إبادة البكتريا والكائنات الدقيقة الأخرى، ويتم ذلك عادة باستعمال الحرارة أو الأشعة فوق البنفسجية أو م,the act of making an organism barren or infertile (unable to reproduce)
i66019,n,appendix,appendix|vermiform appendix|vermiform process|cecal appendage,زَائِدَةٌ|لَاحِقَةٌ|مُلْحَقٌ2,العضو أو الجزء منه المتصل بمحور، كورقة النبات بالنسبة إلى الساق، أو الأطراف بالنسبة إلى الجسم.,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch
i60782,n,variometer,variometer,فاريومتر|مقياس التغير|مِقياس التغيِّر,جهاز ذو مقياس يستخدم فيه الحث المتغير ويقاس به مقدار تغيره,a measuring instrument for measuring variations in a magnetic field
i114902,n,lignite,lignite|brown coal|wood coal,فحم خشبي|فحم لجنيتى|لجنيت,فحم له مظهر الخشب، ويتكون في المرحلة التالية للحث، وهو يحوى من الكربون نسبة أعلى، وقد يكون لونه بنيا,intermediate between peat and bituminous coal
i21946,v,wash,wash,كسح,جرف الرسوبيات إلى خارج الموقع الذي تكونت فيه.,to cleanse (itself or another animal) by licking
i9768,s,moral,moral,خُلُقِيٌّ|أَخْلَاقِيٌّ|أَدَبيٌّ|مَعْنَويٌّ,كل ما له صله بالأخلاق كالضمير أو العمل أو الحكم الأخلاقي ،  ويقابل اللاأخلاقي.,psychological rather than physical or tangible in effect
i29837,v,metallize,metalize|metallize,مَعْدَنَ,طلي أو أشْرب بالمعدن,coat with metal
i75423,n,adjustment,adjustment|accommodation|fitting,اِنْتِظامٌ|تَجانُسٌ|تَوَافُقٌ|اتِّسَاقٌ,تلاؤم الكائن الحي مع بيئة، إما بتغيير سلوكه أو بتغيير بيئته أو بتغييرهما معا.,making or becoming suitable; adjusting to circumstances
i52288,n,constitution,USS Constitution|Constitution|Old Ironsides,قِوَامٌ|بِنْيَةٌ|تَكْوِينٌ|تَرْكِيبٌ,كيان الشيء أو مجموع صفاته من حيث علاقة بعض هذه الصفات ببعض.,a United States 44-gun frigate that was one of the first three naval ships built by the United State
i113713,n,plexiglas,Plexiglas|plexiglass,بُولِيثِينٌ|بُولْيَثِيلِينٌ,ضَربٌ من البلاستيك,a light transparent weather resistant thermoplastic
i113751,n,dimethyl ketone,acetone|propanone|dimethyl ketone,أَسِيتُونٌ,مركب عضوي يتكون من الكربون والإيدروجين والأكسجين،  صيغته الكيميائية (ك3 يد6 أ) (C3 H6 O) وهو سائل عد,the simplest ketone; a highly flammable liquid widely used as an organic solvent and as material for
i81763,n,headwater,headwater,أعالي النهر|مَنابعُ النهر,الأحباس العليا للنهر قرب منبعه.,the source of a river
i75780,n,warping,warp|warping,تَحْدِيبٌ|اِحْديدابٌ,ارتفاع طفيف في القشرة الأرضية يقصر عن أحداث طيات أو ملخ في الطبقات.,a moral or mental distortion
i68764,n,geomorphology,morphology|geomorphology,جِيُومُورْفُولُوجْيَا,علم يبحث فيه عن الأرض من حيث تضاريسها كالمرتفعات والمنخفضات وغيرها، وعلاقاتها بجيولوجيتها.,the branch of geology that studies the characteristics and configuration and evolution of rocks and 
i68766,n,stratigraphy,stratigraphy,علم طبقات الأرض|الاستراتجرافيا,علم يختص بدراسة طبقات الأرض وعلاقة بعضها ببعض من حيث الوضع والعمر والتركيب الحجري والمحتوى الحفري وغ,the branch of geology that studies the arrangement and succession of strata
i78285,n,vinegar,vinegar|acetum,خَلٌّ,سائل يحتوي على نسبة 5% تقريبا من حمض الخليك يحضر بالأكسدة الانزيمية لعصائر الفواكه المخمرة ويستعمل ت,sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a cond
i81088,n,ecosystem,ecosystem,النظام البيئي|االبيئي|الأنموذج البيئي,مجموعة مؤتلفة من جميع القوى الموجودة في بيئة أو في حقل معين، كما في ( النظام البيئي العائلي) ومن الم,a system formed by the interaction of a community of organisms with their physical environment
i107532,n,electrodeposition,electrodeposition,ترسيب إلكتروليتي|ترسيب كهربائي,ترسيب مادة ما على إلكترود بإمرار تيار كهربائي خلال محلول إلكتروليتي.,the deposition of a substance on an electrode by the action of electricity (especially by electrolys
i25660,v,bar,bar|debar|exclude,بَارٌ2,وحدة لقياس الضغط تعادل مليون داين على السنتمتر المربع,prevent from entering; keep out
i23465,v,bud,bud,بُرْعُمَةٌ|بُرْعُمٌ,تركيب يبرز من ساق النبات يمثل بداءة فرع جديد أو زهرة، يتكون من أوراق حديثة تحيط بقمة نامية. ومنه ما ,start to grow or develop
i52559,n,crucible,crucible|melting pot,بَوْتَقَةٌ|بُوتَقَةٌ|بُودَقَةٌ,وعاء تصهر فيه المعادن وغيرها، ويصنع من مادة حرارية ذات درجة حرارة انصهار عالية.,a vessel made of material that does not melt easily; used for high temperature chemical reactions
i35621,n,placement,placement,تَخْدِيمٌ|اِسْتِخْدَامٌ|تَعْيِينٌ|تَوْظِيفٌ,تحديد العمل للفرد في احد الأجهزة بحيث يكون مناسبا لتحقيق غرض معين ويستخدم الأخصائيون هذا الاصطلاح بم,contact established between applicants and prospective employees
i76376,n,boredom,boredom|ennui|tedium,مَلَلٌ,حالة نفسية يشعر معها الفرد بالضيق بشيء ما والميل إلى الانصراف عنه.,the feeling of being bored by something tedious
i2225,a,saturated,saturated|pure,مُشْبَعٌ,صفة للمحلول الذي وصل تركيزه إلى أقصى حد ممكن، ولا يمكن أن يذيب أكثر مما به من مذاب.,(of color) being chromatically pure; not diluted with white or grey or black
i107843,n,photochemical reaction,photochemical reaction,تفاعل كيميائي ضوئي,تفاعل كيميائي يحدث في الضوء أو تفاعل يزيد معدله عند تعريضه للضوء .,a chemical reaction produced by the action of light
i8631,s,factitious,factitious,صُنْعِيٌّ|اصْطِنَاعِيٌّ,وصف لما هو غير طبيعي ومصنع للمشابهة للطبيعي أو الأصلي.,not produced by natural forces
i16889,a,polish,Polish,مادة تلميع|مادة صقل|مادة صَقْل,مادة تستعمل في تنظيف الأسطح وزيادة لمعانها.,of or relating to Poland or its people or culture
i111216,n,meningitis,meningitis,التهاب السحايا|التهاب سحائي,مرض يتسبب من الفيروس أو البكتيريا ويحدث التهاب بالأعضاء المحيطة بالمخ أو النخاع والحبل الشوكي أو كلي,infectious disease characterized by inflammation of the meninges (the tissues that surround the brai
i10360,s,preservative,preservative,مادة حافظة|مادة حافِظةٌ|مادة مانِعةٌ للفَساد,مادة تساعد على منع تحلل المواد العضوية أو تلفها، ومن أمثلتها بعض البنزوات والسلسلات والفلوريدات.,tending or having the power to preserve
i60993,n,water glass,water clock|clepsydra|water glass,سلِيكات الصوديوم|الزجاج المائي|الزُّجاج المائي,سليكات الصوديوم المائية توجد على هيئة سائل شفاف غليظ القوام تستعمل في صناعة الورق والنسيج والطلاء وغ,clock that measures time by the escape of water
i60842,n,vibrator,vibrator,هَزَّازٌ,جهاز معملى هزاز يستعمل في فصل المساحيق إلى جسيمات مختلفة الأوزان,mechanical device that produces vibratory motion; used for massage
i12009,s,4,four|4|iv,أَرْبَعَةٌ,عَدَد طَبيعي مُرَكّب يَدُلّ عَلى قِيمَة مَجْموع ثَلاثَة وَواحِد، وَهُوَ أَصْغَر مِن العَدَد خَمْسَة,being one more than three
i112675,n,schizophrenia,schizophrenia|schizophrenic disorder|schizophrenic psychosis|dementia praecox,اِنْفِصَامٌ|فِصامٌ,مرض عقلي مظهره اضطرابات في موقف الشخص إزاء الواقع، وانفصال بين النواحي العقلية من الشخصية والوجدانية,any of several psychotic disorders characterized by distortions of reality and disturbances of thoug
i37285,n,exhaustion,exhaustion,نَهَكٌ,حالة قصوى من التعب تتوقف عندها القدرة على الاستجابة للتنبيه.,the act of exhausting something entirely
i28511,v,mortar,mortar,هَاوَنٌ|هَاوُنٌ|هَاوُونٌ,إناء مستدير القاع يصنع عادة من النحاس أو الحديد أو الزجاج أو الرخام أو غيرها، يستعمل في سحق المواد.,plaster with mortar
i68671,n,physics,physics|physical science,فِيزِيقَا,علم ينصب على دراسة الظواهر الطبيعية ،  وهو في التاريخ القديم والمتوسط ولدى بعض المحدثين أحد أقسام ال,"the physical properties, phenomena, and laws of something"
i114625,n,mineral wool,mineral wool|rock wool,صوف معدني,كتلة متشابكة من الخيوط تنتج عند التبريد المفاجئ لمصهور الخبث، ويستعمل الصوف المعدني في عمليات العزل ,a light fibrous material used as an insulator
i40318,n,decantation,decantation,صَفْقٌ,سكب السائل الصافي من إناء فتتخلف الرواسب أو السوائل الأخرى في قاع الإناء.,the act of gently pouring off a clear liquor (as from its original bottle) without disturbing the le
i21870,v,entrance,entrance|spellbind,مَنْفَذٌ|مَدْخَلٌ,مسلك يشكل المكان الذي يدخل منه لمكان آخر,put into a trance
i65284,n,pancreas,pancreas,بَنْكِرْيَاسٌ,,a large elongated exocrine gland located behind the stomach; secretes pancreatic juice and insulin
i65770,n,pineal gland,pineal gland|pineal body|epiphysis cerebri|epiphysis,غدّة صَنَوبَرية,,a small endocrine gland in the brain; situated beneath the back part of the corpus callosum; secrete
i31490,v,route,route,طَرِيقٌ|سَبِيلٌ,منشط مخصص بهدف الانتقال من نقطة تواجد مكانية لأخرى,divert in a specified direction
