synset_id,ao_concept_id,matched_word,added_words
awn3-08383367-n,47073,نازيه,سَوْرَةٌ|سُورَةٌ|اِعْتِداءٌ|حُمَيَّاً|صَوْلَةٌ|حِدَّةٌ
awn3-02366035-a,47386,مندهش,مَدْهُوشٌ|مَبْهُوتٌ|مَشْدُوهٌ|مَبْهُورٌ|مُتَحَيِّرٌ|مُتَعَجِّبٌ
awn3-09636221-n,53818,متبار,مُسَابِقٌ|الْمُتَبَارِي|مُنازِلٌ|مُصَارِعٌ|مُزَاحِمٌ|مُنَافِسٌ
awn3-05610438-n,47697,صدغ,فَوْدٌ|لِمَّةٌ|قُصَّةٌ|طَاقَةٌ|خُصْلَةٌ
awn3-13900945-n,52900,قطع ناقص,شَكْلٌ ناقِص|إهليلَج
awn3-02132960-n,48999,فهد,ضَارٍ|نَمِرٌ2|نِمْرٌ|سَبْعٌ2|سَبُعٌ
awn3-01980502-v,46705,تداعي,تَزَحْلَقَ|اِنْزَلَقَ|اِنْزَلَقَ على|زَلَّ1|زَلَّ1 عن|خَرَّ2
awn3-04755139-n,48952,مساواه,تَمَاثُلٌ|تَعَادُلٌ|تَساوٍ|تَكافُؤٌ
awn3-11521799-n,47010,غيث,وَابِلٌ|نَدَىً|حَيَاً|غَدَقٌ|غَادِيَةٌ|طَلٌّ
awn3-02753866-a,51683,كل ساعه,ساعةً فَساعة|مُسأوَعة
awn3-07625449-n,47913,تحليه,تَنْمِيقٌ|تَزْيِينٌ|زَخْرَفَةٌ|تَحْسِينٌ|تَجْمِيلٌ
awn3-03432206-n,47520,بوابه,فُتْحَةٌ|بَابٌ|مَنْفَذٌ|مَدْخَلٌ|كَوَّةٌ|كُوَّةٌ
awn3-07502515-n,46110,حنين,تَلَهُّفٌ|وَلَهٌ|اِشْتِياقٌ|لَهْفَةٌ|تَوْقٌ|صَبَابَةٌ
awn3-06571356-n,50358,مرافعه,حُجَّةٌ
awn3-07370487-n,46757,تقليل,اِنْخِسَافٌ|إِنْقَاصٌ|اِنْحِطَاطٌ|تَدَنٍّ|تَقَوُّضٌ|حَسْمٌ
awn3-00951878-a,53934,داخلي,جَوّانِيٌّ
awn3-03839580-n,50691,مفاعل,كَاشِفٌ
awn3-02666520-v,53443,زامن,تَوَاقُتٌ|مُزَامَنَةٌ|تَزَامُنِيّةٌ
awn3-13719367-n,50552,بيسه,رِيَالٌ
awn3-05469891-n,293418,جهاز عصبي,نظام عصبي
awn3-01623768-n,48034,بومه,صَادٍ|صَدَىً|هَامَةٌ
awn3-06670391-n,52751,حد اقصي,نهايه|حَدّ أدنى|حدّ أَدنى أَدنى
awn3-13479774-n,46757,انقاص,اِنْخِسَافٌ|اِنْحِطَاطٌ|تَدَنٍّ|تَقْلِيلٌ|اِنْخِفَاضٌ|تَقَوُّضٌ
awn3-08230899-n,46516,سريه,عَرَمْرَمٌ|عَسْكَرٌ|لِوَاءٌ|كَتِيبَةٌ|جَحْفَلٌ|جَرَّارٌ
awn3-00125255-v,48048,زجج,تَزَجَّجَ
awn3-05155946-n,46904,جدوي,جَدَاءٌ|عَائِدٌ|غَنَاءٌ|ثَمَرَةٌ|طَائِلَةٌ|طَائِلٌ
awn3-05129822-n,46677,اغلبيه,كَمالٌ|قَاطِبَةٌ|كُلِّيَّةٌ|أكْثَرِيَّةُ|جُمْهُورٌ|جُلّ
awn3-10719850-n,48089,نزيل,عَائِدٌ|نَازِلٌ|ضَيْفٌ|زَائِرٌ
awn3-04554141-n,46690,حائط,وَشِيعٌ|سُورٌ|مِتْرَاسٌ|عَقَبَةٌ|سِيَاجٌ|حَاجِزٌ
awn3-04445087-n,47026,مؤقت,مُوَقَّتٌ|مَوْقِتٌ|عَابِرٌ|عَابِرَةٌ|مُحَدَّدٌ|وَقْتِيٌّ
awn3-00103373-v,47276,اصفر,صَفِرَ1|خَرِبَ|خَوِيَ|أَقْفَرَ|أَوْحَشَ|خَلَا1
awn3-04386330-n,46667,طاوله,وَلِيمَةٌ|سِمَاطٌ|قِرَىً|طَعَامٌ|عَقِيقَةٌ|مَأْدَبَةٌ
awn3-01110658-n,50870,تنازل,تَنَازَلَ عن
awn3-07304311-n,47172,اعجوبه,عَجيبةٌ|آيَةٌ|مُعْجِزَةٌ
awn3-02123649-n,48256,سنور,هِرٌّ|بَسٌّ|قِطٌّ
awn3-09653829-n,46771,منحوس,مَتْعُوسٌ|مَشْئومٌ|مَشْؤُومٌ|نَكِدٌ|شَقِيٌّ|تَعْسٌ
awn3-15021579-n,49381,مسحوق,ذَرُورٌ
awn3-02941214-a,54126,قابل للقسمه,يَتجزّأ|يَنقسِمُ
awn3-09392066-n,293112,عش,وَكْرٌ|وَكْنٌ
awn3-01059555-n,52032,تزويد,تَغْذِيَةٌ|تَمْوِينٌ
awn3-01891013-v,53955,طاف,عائِمٌ
awn3-02187621-v,54024,زمر,أَزِيزٌ|دَوِيٌّ
awn3-02534046-v,47213,اخفق,خابَ|عَيِيَ ب|عَيِيَ في|فَشِلَ في|أَخْفَقَ في|أَكْدَى
awn3-01979598-n,53186,سلطعون,سَرَطانٌ
awn3-04048624-n,53770,مذياع,مِجْهَارٌ|مَيكْرُوفُونٌ|مِكْرُوفُونٌ
awn3-15227602-n,293593,سنه مداريه,سَنَة ميلاديّة
awn3-14472592-n,45866,احتياج,إِمْلَاقٌ|إِقْفَارٌ|اِفْتِقارٌ|ضُرٌّ|عُسْرٌ|عُسْرَةٌ
awn3-13133423-n,54357,شجيره,جَنْبَةٌ
awn3-01811849-v,46106,استمال,اِسْتَرْحَمَ|رَجا|تَضَرَّعَ إلى|تَضَرَّعَ ل|ضَرِعَ إلى|ضَرِعَ ل
awn3-13472977-n,46499,استهلاك,إِهْلاَكٌ|هَلاَكٌ|تَهْدِيمٌ|تَحْطِيمٌ|إِفْسَادٌ|إِعْطَابٌ
awn3-05129364-n,46677,اكثريه,كَمالٌ|قَاطِبَةٌ|كُلِّيَّةٌ|جُمْهُورٌ|جُلّ|غَالِبِيَّةٌ
awn3-05900703-n,50877,افتراض,اِنْتِهَازٌ|اِغْتِنَامٌ
awn3-02911542-n,48417,فرشاه,مِحَسَّةٌ|فِرْجَونٌ
awn3-07964900-n,46801,مشرد,فَارٌّ|مُبْعَدٌ|مُلْقَىً|مَطْرُودٌ|مَحْرُومٌ|مَذْمُومٌ
awn3-07245162-n,53036,تسميه,تَعْيِينٌ|تَخْصِيصٌ
awn3-09277520-n,46660,قاره,كُدْيَةٌ|هَادٍ|الْهَادِي|حَجَرٌ|هَادِيَةٌ|صَوَّانٌ
awn3-05993821-n,46502,ثقافه,اِطِّلَاعٌ|بَصَرٌ|يَقِينٌ|خِبْرَةٌ|عِلْمٌ|مَعْرِفةٌ
awn3-10022422-n,46413,متظاهر,مَذَّاقٌ|مُرَاءٍ|مَيَّانٌ|مُخْتَلَقٌ|مُبْتَدِعٌ|زَاعِمٌ
awn3-07184731-n,54155,تعليمات,تَوْجِيهٌ
awn3-00046648-n,46879,استرجاع,إِرْجَاعٌ|رَدٌّ|إِعَادَةٌ
awn3-02324030-v,45926,تشجع,جَرُؤَ على|تَجَرَّأَ|اِجْتَرَأَ|اِجْتَرَأَ على|جازَفَ ب|جازَفَ في
awn3-02726419-v,47445,اعقب,أَنْسَلَ|أَنْجَبَ|نَسَلَ2|وَلَدَ|وَلَدَ من
awn3-10528303-n,49624,قارئ,مُطالِعٌ|دَارِسٌ2
awn3-01172967-v,45922,ارتشف,نَهِلَ|رَشِفَ|تَمَصَّصَ|اِجْتَرَعَ|جَرَعَ|تَجَرَّعَ
awn3-06210871-n,51472,تحيز,حَابَى|تَحَزَّبَ|تَحَزَّبَ على|تَحَزَّبَ ل|اِنْحَازَ|اِنْحَازَ إِلَى
awn3-14036138-n,53802,ركود,كَسَادٌ|بَوَارٌ
