conceptId,arabicSynset,englishSynset,gloss,example,dataSourceId
48871,نَفِيسٌ | غَالٍ1 | كَرِيمٌ | ثَمِينٌ | نادِرٌ,NULL,صفة الشيء القليل التواجد كماً أو عددا مما يكسبه قيمة مادية أو معنوية كبيرة,يَمْلِكُ وَثَائِقَ وَكُنُوزاً _ة,43
48872,اِنْتِفَاعٌ | اِسْتِغْلَالٌ | اِسْتِفَادَةٌ | تَوْظِيفٌ | اِسْتِثْمَارٌ,NULL,استخدام رؤوس الأموال في الإنتاج ؛ إما مباشرةً بشراء الآلات والمواد الأولية ،وإما بطريق غير مباشر كشراء الأسهم والسندات,عليك _ أموال في مشاريع تعود عليك وعلى مجتمع بالخير والفائدة,43
48873,تَوْفِيقٌ | تَوَافُقٌ | تَوَافَقَ | تَوَافَقَ على | تَوَافَقَ في | تَنْسِيقٌ | تَنَاسُقٌ | اِنْسِجَامٌ,NULL,سلوك المرءُ مسلَكَ الجماعة وتجنَّبَه ما عنده من شذوذ في الخُلُق والسُّلوك,تَمْتازُ كِتاباتُهُ بِ_ الأفْكارِ,43
48874,تَكْنِيكِيٌّ | تِكْنُولُوجِيٌّ | فَنّيٌّ | تِقْنِيٌّ,NULL,ما يختص بالتكنولوجيا والمهارات التقنية,ينبغي أن تجتاز هذه البيانات عملية فحص _ دقيق,43
48875,تَبْصِيرٌ | عِرَافَةٌ | كَهَانَةٌ | تَنْجِيمٌ,NULL,علم التنبؤ بأحداث المستقبل باستخدام أدوات خاصة والاعتماد على علوم معينة مثل علم النجوم وقراءة الكف وغيرها,حرَّمَ الإسلام كافّة أشكال ال_,43
48876,تَعَبُّدٌ | عِبَادَةٌ | اِعْتِكَافٌ | نُسُكٌ 2 | نُسْكٌ,NULL,إقامة الشخص في المسجد والانقطاع عن الدنيا للتفرغ لأداء الصلوات والعبادات,يزداد _ الناس لله في شهر رمضان,43
48877,صَفَّى | غَرْبَلَ | نَخَلَ | نَقَّى,NULL,نظف الشيء من الأوساخ والشوائب بفصلها عن طريق مصفاة ثقوبها أصغر تلك الشوائب والأوساخ استخدم أداة ذات ثقوب محددة الحجم لفصل الشوائب والأوساخ من المادة,_ الدقيق وأعدَّه ليبدأ في صنع الخبز,43
48878,زَرَقَ2 | زَرَقَ مِنْ | تَسَرَّبَ | تَسَرَّبَ إلى | تَسَرَّبَ في | اِنْسَلَّ | تَسَلَّلَ | اِنْسَابَ | اِنْسَابَ إلى | اِنْسَابَ على | اِنْسَابَ في | اِنْسَابَ من | سَالَ | تَدَفَّقَ | مَرَّ1 | مَرَّ1 ب | مَرَّ1 على | مَرَّ1 في,NULL,جرى الماء وتحرك منزلقاً في وادي أو طريق,_ الماءُ في الوِدْيانِ,43
48879,شَابَكَ | تَشَابَكَ | شَبَّكَ,NULL,تداخل موجودان في بعضهما البعض,_ الخيوط في بعضِها فَصَعُبَ عليّ فَكُّها,43
48880,تَبْدِيلٌ | تَحْوِيلٌ | اِنْتِقَالٌ | تَحَوُّلٌ | اِسْتِحَالَةٌ,NULL,انتقال المادة من وضع وحالة معينة إلى حالة جديدة أخرى تختلف عن سابقتها,حصل _ في الأوضاع الاقتصادية وانتعشت البلد بعد ركود طويل,43
48881,تَبَاغُضٌ | نَائِرَةٌ | مُعَادَاةٌ | كَرَاهِيَةٌ | قِلَىً | ضَغِينَةٌ | كَرْهٌ | كُرْهٌ | حِقْدٌ | عَدَاوَةٌ | عَدَاءٌ | شِقَاقٌ | شَحْنَاءُ | بَغْضَاءُ | بُغْضٌ | خُصُومَةٌ | خِصَامٌ,NULL,مشاعر يكنها شخص تجاه الآخر تجعله يسعى له في الشر والأذية بحيث يكون مكروهًا على قلبه,لا تجعل في قلبك _ لأحد من الناس,43
48882,مُخَطَّطٌ | خِطَّةٌ | تَصْمِيمٌ | تَخْطِيطٌ | خُطَّةٌ,NULL,رسم على ورق يثبت فكرة أو مسار وتدل دلالةً تامَّة على المنهج الذي وصل إليه التفكير العميق والرسم الذهني,لا بد من وجود _ مسبق للبناية قبل الشروع بالعمل فيها,43
48883,تَصْرِيفٌ | تَدْبِيرٌ | سِيَاسَةٌ,NULL,عملية الاهتمام بأعمال معينة وتولي شؤونها وأمورها بالرعاية حتى تحقيق الأفضل أو المطلوب,عين المحافظ أبو حازم ل_ أمور الناس ليتما يتم تعيين رئيس بلديةٍ جديد خلفاً للرئيس المتقاعد,43
48884,تَحَدُّرٌ | اِنْحِنَاءٌ | اِنْحِدَارٌ | مَيْلٌ | اِتِّجَاهٌ | مَيَلَانٌ | إِمَالَةٌ | اِنْحِرَافٌ,NULL,اتجاه الموجود المادي إلى أحد الجهات الأربع بفعل قوة ما مع بقاء أصله ثابتا في مكانه,تسعى البلدية للتقليل من ال_ الشديد للطريق الرئيسية التي تؤدي للبلدة,43
48885,تَثَلُّمٌ | فَلَلٌ | فَلٌّ,NULL,انكسار وتفتت في طرف شيء حاد كالسيف والسكين,احذر من _ السكين فقد يؤذي يدك,43
48886,فَرَجَ | فَغَرَ | فَتَحَ | فَتَحَ على,NULL,أحدث ثغرة أو فتحة في موجود المادي ما,_ باسم فتحة في الجدار ليثبت برغي ليعلق صورة والدته المتوفية,43
48887,فَلَقَ | ضُحَىً | صُبْحٌ | صَباحٌ | فَلَقٌ,NULL,أول النهار بعد شروق الشمس,عندما تستيقظ في ال_تسمع أصوات العصافير المتناغمة,43
48888,تَكْتَكَ | تَكْتَكَ ل | تَكْتَكَ من | خَفَقَ1 | دَقَّ1 | دَقَّ1 على | نَبَضَ | تَكَّ,NULL,تحرك في مكانه في اندفاعات متتالية,_ عقرب الساعة مجدداً بعد تبديل البطارية,43
48889,لَفَّ | لَوَى1 | لَوَى ب | لَوَى على | لَوَى عن | فَتَلَ | شَبَّكَ | جَدَلَ1,NULL,لوى وبرم مجموعة من الخيوط لصنع خيط متين وقوي,_ عامر الحبل جيداً ليربطه ويثبته,43
48890,أَيْقَظَ | يقَّظَ | أَصْحى | نَبَّهَ | نَبَّهَ ب,NULL,أخرج شخصاً من حالة نومه وجعله مدركاً ما حوله,_ الصديق الطيب صديقه حول مخاطر العمل الذي يقدم عليه,43
48891,قَفِيرٌ | سَلَّةٌ 1 | قَادُوسٌ | سَفَطٌ | سَفِيفَةٌ,NULL,وعاءٌ كبيرٌ قمعيُّ الشكل يُلقَى فيه الحبُّ فينزل منه حبَّات إِلى الطَّاحون,وضعت أمي الفواكه في ال_,43
48892,تَشَرَّبَ | مَصَّ1 | مَصَّ2 | اِمْتَصَّ | سَفَطٌ,NULL,عملية سحب مستمرة وبطيئة للماء أو لسائل من قبل مادة قابلة للتشرب,_ المنديل الماء الذي سكب على الطاولة,43
48893,نَزَّ | تَسَيَّلَ,NULL,خرج السائل من مكان تخزينه عبر شق أو فتحة صغيرة في الوعاء وببطء,_ الماء من القربة,43
48894,صَلَّةٌ | حِذَاءٌ | نَعْلٌ | قَبْقَابٌ | جَزْمَةٌ | صِرْمٌ | صَنْدَلٌ2 | خُفٌّ | مَنْسِمٌ | مَدَاسٌ | بَابُوجٌ,NULL,حذاء طويل الساق ، من جلد أو مطاط ، يلبسه رجال الأمن أو الصيادون بخاصة,اشترى عادل _ جديداً,43
