concept_id,subTypeOfID,partOfID,instanceOfID
293304,293268,NULL,NULL
293305,293304,NULL,NULL
293306,293303,NULL,NULL
293307,293304,NULL,NULL
293308,293303,NULL,NULL
293309,293268,NULL,NULL
293310,293309,NULL,NULL
293311,293309,NULL,NULL
293312,293287,NULL,NULL
293314,293287,NULL,NULL
293318,293412,NULL,NULL
293319,293575,NULL,NULL
293320,293319,NULL,NULL
293321,293292,NULL,NULL
293322,293319,NULL,NULL
293323,293319,NULL,NULL
293324,293292,NULL,NULL
293325,293319,NULL,NULL
293326,293292,NULL,NULL
293327,293575,NULL,NULL
293328,293291,NULL,NULL
293329,293291,NULL,NULL
293330,293290,NULL,NULL
293331,293290,NULL,NULL
293332,293327,NULL,NULL
293333,293332,NULL,NULL
293334,293327,NULL,NULL
293335,293334,NULL,NULL
293336,293335,NULL,NULL
293337,293334,NULL,NULL
293338,293337,NULL,NULL
293339,293337,NULL,NULL
293340,293339,NULL,NULL
293341,293339,NULL,NULL
293342,293310,NULL,NULL
293343,293311,NULL,NULL
293344,293310,NULL,NULL
293345,293310,NULL,NULL
293346,293310,NULL,NULL
293347,293310,NULL,NULL
293348,293310,NULL,NULL
293349,293310,NULL,NULL
293350,293311,NULL,NULL
293351,293310,NULL,NULL
293352,293311,NULL,NULL
293353,293575,NULL,NULL
293354,293353,NULL,NULL
293355,293354,NULL,NULL
293356,293354,NULL,NULL
293357,293353,NULL,NULL
293358,293357,NULL,NULL
293359,293357,NULL,NULL
293360,293357,NULL,NULL
293361,293357,NULL,NULL
293362,293357,NULL,NULL
293363,293357,NULL,NULL
293364,293357,NULL,NULL
293365,293353,NULL,NULL
293366,293365,NULL,NULL
293367,293365,NULL,NULL
293368,293365,NULL,NULL
293369,293365,NULL,NULL
293370,293575,NULL,NULL
293371,293370,NULL,NULL
293372,293371,NULL,NULL
293373,293371,NULL,NULL
293374,293371,NULL,NULL
293375,293374,NULL,NULL
293376,293374,NULL,NULL
293377,293376,NULL,NULL
293378,293377,NULL,NULL
293379,293377,NULL,NULL
293380,293377,NULL,NULL
293381,293376,NULL,NULL
293382,293381,NULL,NULL
293383,293381,NULL,NULL
293384,293376,NULL,NULL
293385,293384,NULL,NULL
293386,293384,NULL,NULL
293387,293384,NULL,NULL
293388,293387,NULL,NULL
293389,293387,NULL,NULL
293390,293387,NULL,NULL
293391,293387,NULL,NULL
293392,293387,NULL,NULL
293393,293392,NULL,NULL
293394,293392,NULL,NULL
293395,293387,NULL,NULL
293396,293387,NULL,NULL
293397,293387,NULL,NULL
293398,293387,NULL,NULL
293399,293376,NULL,NULL
293400,293376,NULL,NULL
293401,293400,NULL,NULL
293402,293400,NULL,NULL
293403,293400,NULL,NULL
293404,293403,NULL,NULL
293405,293403,NULL,NULL
293406,293305,NULL,NULL
293407,293406,NULL,NULL
293408,293406,NULL,NULL
