ao_concept_id,synset_id,arabic_words,has_hypernym
53239,awn3-15322559-u,مُعْتَدِلٌ,False
53240,awn3-15322560-u,مَحْجُوزٌ,False
53243,awn3-15322561-u,مَرْفُوضٌ,False
53244,awn3-15322562-u,مَفْكُوكٌ|مَفْصُولٌ,False
53248,awn3-15322563-u,مَنْقُولَاتٌ,False
53249,awn3-15322564-u,مِصْقَلٌ|مِمْلَسَةٌ,False
53250,awn3-15322565-u,مُتَعَدِّدٌ|مُنَوَّعَاتٌ,False
53251,awn3-15322566-u,مَسارُ المَقْذُوف|مَسير,False
53264,awn3-15322567-u,أَزَّ2|فَحَّ|هَسَهَسَ,False
53267,awn3-15322568-u,أعادَ الغَربَلة|نَخّل ثانيةً|صَفىَّ ثانيةً,False
53270,awn3-15322569-u,أصغرُ من المعدل|صَغيرُ الحَجْم|صَغيرُ القياس,False
53276,awn3-15322570-u,مُضَمَّخٌ|مُمَسَّكٌ|مُطَيَّبٌ,False
53277,awn3-15322571-u,لَوْلَبِيٌّ|حَلَزُونِيٌّ|مُلْتَفٌّ,False
53281,awn3-15322572-u,زَغَبٌ2|وَبَرٌ|فَرْوٌ,False
53283,awn3-15322573-u,إِسْرَنْجٌ,False
53287,awn3-15322574-u,اِنْسِيَاقٌ|اِنْجِرَافٌ,False
53290,awn3-15322575-u,شوارد سالبة|أنيونات|أيونات سالبة,False
53291,awn3-15322576-u,أَرابَ1|شَكَّكَ|شَكَّكَ في,False
53298,awn3-15322577-u,حافظة الفيلم|ممْسك الفيلم|علْبة الفْيلم,False
53299,awn3-15322578-u,حَائِكٌ|نَسَّاجٌ|خَيَّاطٌ,False
53305,awn3-15322579-u,أَنْثْرَاسَيْتٌ,False
53308,awn3-15322580-u,مُنْطَادٌ|مِنْطَادٌ,False
53310,awn3-15322581-u,مِشْمَاسَةٌ,False
53311,awn3-15322582-u,وحيدُ الجانب|وَحيدُ الجانب|أُحاديُّ الاُتجاه,False
53312,awn3-15322583-u,مِعْقَمَةٌ,False
53314,awn3-15322584-u,حُثَالَةٌ|ثُفْلٌ|ثُمَالَةٌ,False
53318,awn3-15322585-u,مُزْوَجٌ|مُتَقَارِنٌ,False
53322,awn3-15322586-u,أَدَمَةٌ,False
53324,awn3-15322587-u,خَشِنٌ,False
53325,awn3-15322588-u,إثارةٌ بالصَّدم|إثارةٌ دفعية|إثارةٌ نبضيّة,False
53331,awn3-15322589-u,جوزة البلوط|ثمرة البلوط,False
53336,awn3-15322590-u,صَارَ1|صَارَ1 إلى,False
53338,awn3-15322591-u,دَنِيءٌ,False
53344,awn3-15322592-u,خُيَلَاءُ,False
53347,awn3-15322593-u,طريقة بسمر القاعدية|طَريقة البواتِق|أسلوب المجْمرة المكشوفة القاعدي,False
53356,awn3-15322594-u,مَوْرُوبٌ|مُسْتَعْرِضٌ|مُعترِضٌ,False
53360,awn3-15322595-u,عَصْفَةٌ|هَبَّةٌ|نَفْخةٌ,False
53362,awn3-15322596-u,اِنْطَمَسَ|غَبِشَ,False
