ili_id,pos,arabic_words,ao_concept_id
i21902,v,وِنْش|مِرْفَاعٌ,50350
i39289,n,اِعْتِداءٌ|إِسَاءَةٌ,50353
i1505,s,مجهرى الحبيبات|دقيق التبلور|دقيق التحبب|دقيقُ التبلْوُر|مِجهرِي البلّورات,50360
i41116,n,حب البشر|الخيرية,50437
i80348,n,أُسْرَةٌ,50498
i27889,v,خُرْفُشٌ,50519
i63506,n,اللاتَلَفِّية|اللافَنائِيّة|عدمُ قابليّة التّلف,50614
i25976,v,مِبْرَدٌ,50681
i114684,n,كَاشِفٌ|مُفَاعِلٌ,50691
i29740,v,فَحْمٌ2,50742
i116513,n,فيتامين ي|ألفا توكوفيرول,50799
i114839,n,اسمنت بورتلاندي|اسمنت مائي|اسمنت هيدروليكي,50879
i9206,s,فِلِزٌّ|مَعْدِنٌ|مَعْدَنٌ,50907
i25622,v,مِضَخَّةٌ,50917
i64749,n,غُضْرُوفٌ,50923
i90994,n,ممرضة,50939
i115746,n,نَفْتَالِين,50956
i67641,n,كَمٌّ,51069
i25869,v,كُلَّابٌ|مِخْلَبٌ,51080
i49947,n,مَذْبَحٌ,51151
i8744,a,عَادِيٌّ,51198
i41711,n,إِيمَانٌ,51221
i66548,n,فَنٌّ,51224
i81702,n,نُقطة الذَّنب|نقطة الذنب|نقطة الرأس|نقطة قبْوية,51254
i36816,n,تَجَدُّدٌ|تَجْدِيدٌ,51284
i25286,v,مُسَلَّمةٌ,51302
i79030,n,مياه معدنية,51319
i22120,v,قَنَاةٌ|مَجْرَىً,51342
i114069,n,كَاوْلِينٌ|غَضَارٌ,51376
i52578,n,بَلُّوْرٌ|بِلَّوْرٌ|تَبَلْوُرٌ,51387
i22551,v,تَمَوُّرٌ|عَرَامَةٌ,51426
i3616,s,قَبْرٌ|ضَرِيحٌ|لَحْدٌ|رَمْسٌ|مَرْقَدٌ,51537
i93627,n,مُعالِجٌ|مُدَاوٍ|آسٍ|طَبْيبٌ,51542
i5206,s,قَمَرٌ|تَابِعٌ1,51587
i24605,v,سَفِينٌ|سَانِدَةٌ|خَابُورٌ|إِزْمِيلٌ|إِسْفِينٌ,51616
i53679,n,طائرة مقاتلة,51635
i57214,n,ورق فوتغرافي,51650
i99677,n,زيت الخردل,51654
i115665,n,مَغْنِيتِيت|مَغْنِتَيْت,51678
i98753,n,مَثْعَبٌ|مِمَصٌّ|سَحَّارَةٌ,51699
i116610,n,زركونيا|أكسيد الزركونيوم,51721
i63104,n,أكوامارين|الزمرد الأزرق,51722
i113896,n,استاسين|ألابامين,51723
i29936,v,نَعْنَاعٌ,51880
i111247,n,شَهْقَةٌ|شُهَاقٌ,51892
i56303,n,خَلَّاطٌ,51902
i62913,n,لُزُوجَةٌ,51908
i115754,n,غاز طبيعي,51912
i13554,s,غُضْرُوفِيٌّ,51913
i109366,n,قَاطِعٌ|فَاصِلٌ|باتِرٌ|حادٌّ|عَائِقٌ,51933
i18159,r,سر,51935
i112690,n,بحة الصوت,51970
i56722,n,ناقلة زيت|ناقلة نفط|ناقِلةُ زيت,51978
i68770,n,علم المناخ,52008
i57555,n,بُورْسُلِينٌ,52017
i38683,n,الوارد أولا يخرج أولا|الوارد أولاً يخرج أولاً|اختبار الانعكاس في الُمُعامِل,52027
i68546,n,علم الأورام|مبحث الأورام,52044
i52236,n,ضَاغِطٌ,52048
i36019,n,عَرْضٌ1|إِسْقَاطٌ,52069
i27508,v,كَسَحَ|كَسَحَ من,52101
i61779,n,غَثَيَانٌ|إِغْمَاءٌ,52108
i15362,a,حَفْرِيَّةٌ|أَحَافِيرُ,52218
i115932,n,جِبْسٌ|جَصٌّ|جِصٌّ|مِلَاطٌ,52262
i27839,v,صَارُوخٌ|قَذِيفَةٌ|مَقْذُوفٌ,52271
i23507,v,فَأْسٌ|مِعْوَلٌ|مِنْكَاشٌ|بَلْطَةٌ|مِخَدَّةٌ,52294
i116468,n,يُورُانِينَيْتٌ|بِتْشْبْلِنْدٌ,52329
i98138,n,لَيٌّ|تَوَتُّرٌ,52350
i59676,n,مُعَزِّزٌ|تَعْزِيزٌ,52351
i2439,s,سَائِلٌ 2|رَخْوٌ|رُخْوٌ|رِخْوٌ|مَائِعٌ,52357
i41007,n,تَباطَأَ|تَباطَأَ في|تَقاصَرَ|تَقاصَرَ عن|تَقَاصُرٌ,52359
i114021,n,وُلْفْرَامْيُومٌ|وُلَفْرامٌ,52394
i9817,s,زَهْرِيٌّ,52396
i4151,s,سُلَالِيٌّ|عُنصُريٌّ|عِرْقيٌّ,52434
i25373,v,مَعْمَلٌ,52448
i35834,n,اِنْفَرَجَ,52459
i27991,v,قِيرٌ|قَارٌ|زِفْتٌ|قَطْرَانٌ|قَطِرَانٌ,52502
i85127,n,نُهَيْرٌ|نَهْرٌ|جَدْوَلٌ,52559
i85538,n,حَمَّةٌ,52567
i67661,n,بَارَامِتِرْ|مِقْيَاسٌ|مِعْيَارٌ,52660
i51477,n,مَنْزِلٌ,52661
i36646,n,اِنْحِسَارٌ|جَزْرٌ|تَرَاجُعٌ,52762
i114791,n,بْلَمْبَاجُو|جِرَافِيتٌ,52765
i50333,n,جرافة عكسية|حفارة خلفية,52767
i107297,n,تَحَمُّضٌ|تَحْمِيضٌ,52781
i39761,n,مِرْحَاضٌ,52811
i36723,n,تَنْفِيسٌ|تَصْرِيفٌ,52833
i1662,s,بحة في الصوت|صوت أحبش,52835
i85028,n,أَتُول,52841
i113910,n,كد,52927
i12008,s,ثَلاثَةٌ,52929
i659,a,تُرَابِيٌّ|بَرِّيٌّ|أَرْضيٌّ,53027
i66702,n,عادات المجتمع|اعراف المجتمع,53120
i108993,n,كَالُورِي|سُعْرٌ1,53187
i3245,a,ثَابِتٌ,53222
i55461,n,مَخْبَرٌ|مُخْتَبَرٌ|مَعْمَلٌ,53235
i49938,n,مفتاح ربط تمساحي|غراب,53242
i55013,n,هَيجْرُومِتِرٌ|مِرْطابٌ,53306
i61105,n,حَجَر التّجلِيخ|حَجَر الشَّحذ|حَجَر الصَّقِل|حجر الشحذ,53323
i111524,n,بلاغرا|حصاب|الجرب اليابس,53370
i116359,n,تَنِّينٌ,53387
i59290,n,فوتومتر طيفي|اسبكتروفوتومتر|مقياس الضوء الطيفي,53389
i64517,n,لَطْخَةٌ|بُقْعَةٌ2,53424
i92328,n,مضطرب عقليا|اضطراب عقلي|سيكو باتي,53449
i115868,n,نَفْتَا|زَيْتٌ|نَفْطٌ2|نِفْطٌ|بَتْرُولٌ,53452
i22061,v,تَوْأَمٌ,53470
i115620,n,لَيْمُونِيْتٌ,53516
i50299,n,سُنْبُكٌ|مِثْقَابٌ|مِثْقَبٌ|مِخْرَمَةٌ|خَرَّامَةٌ,53557
i64860,n,الشق الحلقي|سقف الحلق الرخو|شق الحلق,53563
i63629,n,مَيْلٌ,53567
i105845,n,فُرَيْعٌ|عُسْلُوجٌ|غُصَيْنٌ,53580
i7254,s,رَصيصٌ,53625
i68781,n,عِدَانَةٌ,53733
i116546,n,اِسْفِيدَاجٌ|إسبيداجٌ,53782
i51226,n,بَصَلَةٌ,53806
i39073,n,تَعْقيمٌ,53888
i66019,n,زَائِدَةٌ|لَاحِقَةٌ|مُلْحَقٌ2,53926
i60782,n,فاريومتر|مقياس التغير|مِقياس التغيِّر,53956
i114902,n,فحم خشبي|فحم لجنيتى|لجنيت,53970
i21946,v,كسح,53994
i9768,s,خُلُقِيٌّ|أَخْلَاقِيٌّ|أَدَبيٌّ|مَعْنَويٌّ,53995
i29837,v,مَعْدَنَ,53997
i75423,n,اِنْتِظامٌ|تَجانُسٌ|تَوَافُقٌ|اتِّسَاقٌ,54018
i52288,n,قِوَامٌ|بِنْيَةٌ|تَكْوِينٌ|تَرْكِيبٌ,54100
i113713,n,بُولِيثِينٌ|بُولْيَثِيلِينٌ,54109
i113751,n,أَسِيتُونٌ,54150
i81763,n,أعالي النهر|مَنابعُ النهر,54153
i75780,n,تَحْدِيبٌ|اِحْديدابٌ,54157
i68764,n,جِيُومُورْفُولُوجْيَا,54210
i68766,n,علم طبقات الأرض|الاستراتجرافيا,54211
i29013,v,مَصْنَعٌ,54240
i78285,n,خَلٌّ,54288
i81088,n,النظام البيئي|االبيئي|الأنموذج البيئي,54395
i107532,n,ترسيب إلكتروليتي|ترسيب كهربائي,54434
i25660,v,بَارٌ2,54453
i23465,v,بُرْعُمَةٌ|بُرْعُمٌ,54489
i52559,n,بَوْتَقَةٌ|بُوتَقَةٌ|بُودَقَةٌ,54490
i35621,n,تَخْدِيمٌ|اِسْتِخْدَامٌ|تَعْيِينٌ|تَوْظِيفٌ,54494
i76376,n,مَلَلٌ,54495
i2225,a,مُشْبَعٌ,54496
i107843,n,تفاعل كيميائي ضوئي,54507
i36724,n,تَنْفِيسٌ,54510
i8631,s,صُنْعِيٌّ|اصْطِنَاعِيٌّ,54528
i16889,a,مادة تلميع|مادة صقل|مادة صَقْل,54552
i111216,n,التهاب السحايا|التهاب سحائي,54567
i10360,s,مادة حافظة|مادة حافِظةٌ|مادة مانِعةٌ للفَساد,54569
i60993,n,سلِيكات الصوديوم|الزجاج المائي|الزُّجاج المائي,54594
i60842,n,هَزَّازٌ,54619
i12009,s,أَرْبَعَةٌ,54641
i112675,n,اِنْفِصَامٌ|فِصامٌ,54648
i37285,n,نَهَكٌ,54676
i28511,v,هَاوَنٌ|هَاوُنٌ|هَاوُونٌ,54694
i68671,n,فِيزِيقَا,54700
i114625,n,صوف معدني,54708
i40318,n,صَفْقٌ,54714
i21870,v,مَنْفَذٌ|مَدْخَلٌ,116035
i65284,n,بَنْكِرْيَاسٌ,134530
i65770,n,غدّة صَنَوبَرية,135997
i31490,v,طَرِيقٌ|سَبِيلٌ,142519
i59901,n,هَيْكَلٌ,145304
i59603,n,بُورْصَةٌ,147720
i57445,n,مُول,158163
i33095,v,مَلْجَأٌ|مَأْوَىً,158816
i27139,v,مَدْرَسٌ,176647
i36585,n,مَسْلَخٌ|مَذْبَحٌ|مَجْزَرٌ,177951
i28189,v,قَمَرَةٌ|كُوخٌ,181463
i85934,n,المحيط الهادي,200720
i34199,v,قَفَصٌ,203214
i58453,n,نَاوُوسٌ,213592
i58945,n,صَوْمَعَةٌ,222617
i38685,n,مَلْحَمَةٌ,223866
i55573,n,مَغْسَلَةٌ,240346
i112853,n,إِمَارَةٌ,243633
i24348,v,مُخَيَّمٌ,248526
i80270,n,وَكْرٌ,265069
i55652,n,مَكْتَبَةٌ,293110
i34938,v,خَيْمَةٌ,293111
i28625,v,وَكْرٌ|عُشٌّ|وَكْنٌ,293112
i12010,s,خَمْسٌ1|خَمْسَةٌ,293113
i37798,n,وَطَنٌ|بَلَدٌ|دَوْلَةٌ,293121
i83501,n,مِصْرُ2,293125
i12011,s,سِتَّةٌ,293126
i56337,n,دَيْرٌ,293137
i12012,s,سَبْعَةٌ,293139
i59918,n,كَنِيسَةٌ|صَلَاةٌ,293140
i28374,v,ظُلّةٌ|مَظَلَّةٌ|مِظَلَّةٌ|سَقِيفَةٌ,293142
i55526,n,مَسْلَكٌ|مَسَارٌ,293146
i28404,v,حَانَةٌ|مَشْرَبٌ|خَمَّارَةٌ,293147
i59809,n,سوبر ماركت,293149
i12013,s,ثَمَانِيَةٌ,293153
i34193,v,حَبْسٌ|مُعتَقَلٌ|سِجْنٌ|مَحْبِسٌ,293157
i53275,n,مَدْبَغَةٌ|مَصْبَغَةٌ,293158
i50375,n,مَخْبِزٌ|تَنُّورٌ|فُرْنٌ,293159
i33221,v,سُوقٌ,293161
i29608,v,مَرْعَىً,293163
i12014,s,تِسْعَةٌ,293169
i58784,n,مَأْوَىً,293171
i40815,n,مَكْتَبٌ,293179
i33401,v,مَحَلٌّ,293182
i59717,n,اِسْتُودْيُو|أُسْتُودْيُو|إِسْتُوْدْيُو,293192
i51842,n,خُمٌّ,293196
i35447,v,قَائِمٌ|قَيُّومٌ|وَاقِعِيٌّ|ذَاتٌ1|مَوْجُودٌ,293200
i3710,s,سَيْرورَةٌ|حُصُولٌ|حُدُوثٌ,293202
i63751,n,تَعْبِيرٌ,293203
i24929,v,عَمَلِيَّةٌ,293215
i12015,s,عَشْرَةٌ|عَشْرٌ,293217
i41717,n,مَخْبَأٌ|مَلَاذٌ|مَلْجَأٌ|مَعْقِلٌ,293218
i27238,v,مِتْرَاسٌ,293219
i1465,s,سِمَةٌ|مَيْزَةٌ|مِيزَةٌ|خَاصِّيَّةٌ|صِفَةٌ,293221
i113363,n,مَقْدِرَةٌ|قُدْرَةٌ,293222
i39228,n,مُهِمَّةٌ1|مَهَمَّةٌ|مُهِمَّةٌ2|دَوْرٌ,293223
i26010,v,وَضْعٌ|هَيْئَةٌ|حَالَةٌ,293226
i25172,v,مُجَرَّدٌ|نَظَرِيٌّ|تَجْريديّ,293232
i22899,v,رَقْمٌ|عَدَدٌ,293235
i21960,v,فِئَةٌ|مَجْمُوعَةٌ,293236
i108136,n,عَدَدْ مُرَكّب|عَدَدْ مُؤَلّف,293248
i97777,n,فَعَّالِيَّةٌ|حَدَثٌ|وَاقِعَةٌ2,293252
i38423,n,فِعْلٌ,293253
i3480,a,مَادَّةٌ,293257
i81452,n,مُتَعَضٍّ,293261
i71066,n,حُمَّةٌ|فَيْرُوسٌ,293262
